Training Teacher
Epoch 128/300 | Loss: 5956.33988 | Accuracy: 0.60906
Epoch 129/300 | Loss: 5573.92841 | Accuracy: 0.62182
Epoch 130/300 | Loss: 6286.92347 | Accuracy: 0.59802
Epoch 131/300 | Loss: 4903.16829 | Accuracy: 0.63730
Epoch 132/300 | Loss: 5305.98789 | Accuracy: 0.62340
Epoch 133/300 | Loss: 4980.46232 | Accuracy: 0.62856
Epoch 134/300 | Loss: 5658.55918 | Accuracy: 0.60826
Epoch 135/300 | Loss: 5778.60436 | Accuracy: 0.60116
Epoch 136/300 | Loss: 5314.27644 | Accuracy: 0.61838
Epoch 137/300 | Loss: 6751.48818 | Accuracy: 0.57650
Epoch 138/300 | Loss: 5791.15542 | Accuracy: 0.60132
Epoch 139/300 | Loss: 5074.20906 | Accuracy: 0.62310
Epoch 140/300 | Loss: 5077.83318 | Accuracy: 0.62444
Epoch 141/300 | Loss: 4457.94528 | Accuracy: 0.63632
Epoch 142/300 | Loss: 4748.35550 | Accuracy: 0.62544
Epoch 143/300 | Loss: 5043.62102 | Accuracy: 0.61552
Epoch 144/300 | Loss: 4350.78277 | Accuracy: 0.64154
Epoch 145/300 | Loss: 4340.42754 | Accuracy: 0.64056
Epoch 146/300 | Loss: 4837.64148 | Accuracy: 0.61546
Epoch 147/300 | Loss: 4887.11214 | Accuracy: 0.61454
Epoch 148/300 | Loss: 5100.16809 | Accuracy: 0.61264
Epoch 149/300 | Loss: 4165.42942 | Accuracy: 0.64026
Epoch 150/300 | Loss: 4781.37876 | Accuracy: 0.61510
Epoch 151/300 | Loss: 5575.78709 | Accuracy: 0.58964
Epoch 152/300 | Loss: 4522.22114 | Accuracy: 0.62850
Epoch 153/300 | Loss: 4294.86102 | Accuracy: 0.63138
Epoch 154/300 | Loss: 4597.76720 | Accuracy: 0.61334
Epoch 155/300 | Loss: 4393.46014 | Accuracy: 0.62212
Epoch 156/300 | Loss: 4322.01944 | Accuracy: 0.62760
Epoch 157/300 | Loss: 4117.37413 | Accuracy: 0.63396
Epoch 158/300 | Loss: 4131.00702 | Accuracy: 0.63610
Epoch 159/300 | Loss: 4314.78182 | Accuracy: 0.62722
Epoch 160/300 | Loss: 3705.64585 | Accuracy: 0.64514
Epoch 161/300 | Loss: 3583.34339 | Accuracy: 0.65078
Epoch 162/300 | Loss: 3774.57971 | Accuracy: 0.64096
Epoch 163/300 | Loss: 4402.29357 | Accuracy: 0.61460
Epoch 164/300 | Loss: 3592.48485 | Accuracy: 0.65148
Epoch 165/300 | Loss: 3475.74313 | Accuracy: 0.65112
Epoch 166/300 | Loss: 3465.48574 | Accuracy: 0.65082
Epoch 167/300 | Loss: 3941.06204 | Accuracy: 0.62612
Epoch 168/300 | Loss: 4051.46938 | Accuracy: 0.61852
Epoch 169/300 | Loss: 3614.61884 | Accuracy: 0.63992
Epoch 170/300 | Loss: 3590.86196 | Accuracy: 0.64132
Epoch 171/300 | Loss: 3473.84674 | Accuracy: 0.64230
Epoch 172/300 | Loss: 3220.32115 | Accuracy: 0.65522
Epoch 173/300 | Loss: 3134.04365 | Accuracy: 0.65598
Epoch 174/300 | Loss: 3145.56648 | Accuracy: 0.65110
Epoch 175/300 | Loss: 3068.44668 | Accuracy: 0.65570
Epoch 176/300 | Loss: 3224.34119 | Accuracy: 0.64580
Epoch 177/300 | Loss: 3341.14215 | Accuracy: 0.63140
Epoch 178/300 | Loss: 3244.40405 | Accuracy: 0.63994
Epoch 179/300 | Loss: 2849.19288 | Accuracy: 0.66316
Epoch 180/300 | Loss: 2995.23819 | Accuracy: 0.65008
Epoch 181/300 | Loss: 3300.48358 | Accuracy: 0.63540
Epoch 182/300 | Loss: 3069.22506 | Accuracy: 0.64164
Epoch 183/300 | Loss: 3052.01559 | Accuracy: 0.63808
Epoch 184/300 | Loss: 2992.69064 | Accuracy: 0.64274
Epoch 185/300 | Loss: 2917.89806 | Accuracy: 0.64780
Epoch 186/300 | Loss: 2804.27162 | Accuracy: 0.64974
Epoch 187/300 | Loss: 3167.76188 | Accuracy: 0.62738
Epoch 188/300 | Loss: 2719.88997 | Accuracy: 0.65494
Epoch 189/300 | Loss: 2645.21972 | Accuracy: 0.65468
Epoch 190/300 | Loss: 2765.24650 | Accuracy: 0.65056
Epoch 191/300 | Loss: 2456.74246 | Accuracy: 0.66046
Epoch 192/300 | Loss: 2633.80214 | Accuracy: 0.64414
Epoch 193/300 | Loss: 2850.41404 | Accuracy: 0.63014
Epoch 194/300 | Loss: 2781.61908 | Accuracy: 0.63936
Epoch 195/300 | Loss: 2587.93982 | Accuracy: 0.64720
Epoch 196/300 | Loss: 2264.20464 | Accuracy: 0.66630
Epoch 197/300 | Loss: 2168.95301 | Accuracy: 0.66986
Epoch 198/300 | Loss: 2328.91579 | Accuracy: 0.65324
Epoch 199/300 | Loss: 2166.20767 | Accuracy: 0.66414
Epoch 200/300 | Loss: 2116.97923 | Accuracy: 0.66496
Epoch 201/300 | Loss: 2249.06943 | Accuracy: 0.65516
Epoch 202/300 | Loss: 2060.05096 | Accuracy: 0.66592
Epoch 203/300 | Loss: 2096.74494 | Accuracy: 0.66248
Epoch 204/300 | Loss: 1984.16246 | Accuracy: 0.66732
Epoch 205/300 | Loss: 2263.56771 | Accuracy: 0.64772
Epoch 206/300 | Loss: 2160.59537 | Accuracy: 0.65824
Epoch 207/300 | Loss: 1927.77516 | Accuracy: 0.66916
Epoch 208/300 | Loss: 1778.28134 | Accuracy: 0.68022
Epoch 209/300 | Loss: 1607.86267 | Accuracy: 0.68624
Epoch 210/300 | Loss: 1910.33671 | Accuracy: 0.65802
Epoch 211/300 | Loss: 1935.83537 | Accuracy: 0.65846
Epoch 212/300 | Loss: 1695.19337 | Accuracy: 0.67826
Epoch 213/300 | Loss: 1745.77247 | Accuracy: 0.67038
Epoch 214/300 | Loss: 1530.87427 | Accuracy: 0.68412
Epoch 215/300 | Loss: 1574.54091 | Accuracy: 0.67564
Epoch 216/300 | Loss: 1607.41907 | Accuracy: 0.67418
Epoch 217/300 | Loss: 1502.63334 | Accuracy: 0.67946
Epoch 218/300 | Loss: 1564.56780 | Accuracy: 0.67672
Epoch 219/300 | Loss: 1507.24096 | Accuracy: 0.68024
Epoch 220/300 | Loss: 1338.96296 | Accuracy: 0.69252
Epoch 221/300 | Loss: 1284.41772 | Accuracy: 0.69296
Epoch 222/300 | Loss: 1318.10919 | Accuracy: 0.68584
Epoch 223/300 | Loss: 1330.26639 | Accuracy: 0.68440
Epoch 224/300 | Loss: 1232.14691 | Accuracy: 0.69066
Epoch 225/300 | Loss: 1273.80397 | Accuracy: 0.68544
Epoch 226/300 | Loss: 1439.45568 | Accuracy: 0.66602
Epoch 227/300 | Loss: 1265.29619 | Accuracy: 0.68284
Epoch 228/300 | Loss: 1303.47230 | Accuracy: 0.67538
Epoch 229/300 | Loss: 1155.70703 | Accuracy: 0.69032
Epoch 230/300 | Loss: 1199.00479 | Accuracy: 0.68344
Epoch 231/300 | Loss: 1136.07989 | Accuracy: 0.68872
Epoch 232/300 | Loss: 1192.88820 | Accuracy: 0.68112
Epoch 233/300 | Loss: 1127.15326 | Accuracy: 0.68378
Epoch 234/300 | Loss: 1063.78247 | Accuracy: 0.68956
Epoch 235/300 | Loss: 1027.57089 | Accuracy: 0.69228
Epoch 236/300 | Loss: 977.67636 | Accuracy: 0.70166
Epoch 237/300 | Loss: 1022.49249 | Accuracy: 0.68560
Epoch 238/300 | Loss: 994.70333 | Accuracy: 0.69014
Epoch 239/300 | Loss: 1006.69533 | Accuracy: 0.68584
Epoch 240/300 | Loss: 931.90679 | Accuracy: 0.69328
Epoch 241/300 | Loss: 851.51435 | Accuracy: 0.70382
Epoch 242/300 | Loss: 920.68793 | Accuracy: 0.68916
Epoch 243/300 | Loss: 842.86709 | Accuracy: 0.70084
Epoch 244/300 | Loss: 892.01456 | Accuracy: 0.68968
Epoch 245/300 | Loss: 873.09012 | Accuracy: 0.68594
Epoch 246/300 | Loss: 787.38794 | Accuracy: 0.69944
Epoch 247/300 | Loss: 742.82432 | Accuracy: 0.70474
Epoch 248/300 | Loss: 804.02925 | Accuracy: 0.69010
Epoch 249/300 | Loss: 872.05233 | Accuracy: 0.67940
Epoch 250/300 | Loss: 787.44408 | Accuracy: 0.69102
Epoch 251/300 | Loss: 780.76401 | Accuracy: 0.68956
Epoch 252/300 | Loss: 681.36375 | Accuracy: 0.70888
Epoch 253/300 | Loss: 649.57251 | Accuracy: 0.70950
Epoch 254/300 | Loss: 705.60144 | Accuracy: 0.69492
Epoch 255/300 | Loss: 647.89863 | Accuracy: 0.70408
Epoch 256/300 | Loss: 616.19708 | Accuracy: 0.70176
Epoch 257/300 | Loss: 718.55936 | Accuracy: 0.68002
Epoch 258/300 | Loss: 611.93717 | Accuracy: 0.70000
Epoch 259/300 | Loss: 608.86441 | Accuracy: 0.69738
Epoch 260/300 | Loss: 546.07335 | Accuracy: 0.70978
